City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
59,Khatanga,RU,2022-04-14 01:01:48,71.9667,102.5,6.51,93,100,7.78,overcast clouds
60,Benito Juarez,MX,2022-04-14 01:01:48,19.385,-99.165,79.84,35,100,11.01,overcast clouds
61,Taruma,BR,2022-04-14 01:01:49,-22.7467,-50.5772,68.65,96,99,0.16,overcast clouds
62,Havre-Saint-Pierre,CA,2022-04-14 01:01:01,50.2334,-63.5986,31.53,98,72,7.05,broken clouds
63,Bethel,US,2022-04-14 01:01:49,41.3712,-73.414,64.36,77,100,4.34,overcast clouds
64,Vryburg,ZA,2022-04-14 01:01:50,-26.9566,24.7284,59.11,55,67,3.96,broken clouds
65,Pangai,TO,2022-04-14 01:01:50,-19.8,-174.35,81.52,71,0,12.59,clear sky
66,Santa Rosa,PH,2022-04-14 01:01:50,14.3122,121.1114,87.1,69,75,3.87,broken clouds
67,Busselton,AU,2022-04-14 01:01:51,-33.65,115.3333,61.16,65,0,8.41,clear sky
68,Doha,QA,2022-04-14 00:57:13,25.2867,51.5333,84.09,57,0,8.05,clear sky
69,Linqing,CN,2022-04-14 01:01:51,36.8456,115.7117,54.73,37,100,7.61,light rain
70,Vincennes,FR,2022-04-14 01:01:52,48.85,2.4333,53.1,95,0,3.44,fog
71,Hualmay,PE,2022-04-14 01:01:52,-11.0964,-77.6139,66.69,83,95,10.04,overcast clouds
72,Bluff,NZ,2022-04-14 01:01:52,-46.6,168.3333,60.8,77,79,19.35,broken clouds
73,Beyneu,KZ,2022-04-14 01:01:53,45.3167,55.2,52.7,64,0,8.28,clear sky
74,Tuktoyaktuk,CA,2022-04-14 01:01:53,69.4541,-133.0374,0.19,89,89,8.79,overcast clouds
75,Mukhen,RU,2022-04-14 01:01:53,48.1,136.1,41.43,52,94,9.62,overcast clouds
76,Bhanpuri,IN,2022-04-14 01:01:54,21.1,80.9167,85.69,37,64,9.8,broken clouds
77,Nizip,TR,2022-04-14 01:01:54,37.0097,37.7942,44.73,37,4,6.11,clear sky
78,Nantucket,US,2022-04-14 00:58:42,41.2835,-70.0995,55.45,82,75,14.97,broken clouds
79,Avarua,CK,2022-04-14 01:01:54,-21.2078,-159.775,84.25,74,20,4.61,few clouds
80,Pevek,RU,2022-04-14 01:01:55,69.7008,170.3133,6.96,83,100,4.34,overcast clouds
81,Nisia Floresta,BR,2022-04-14 01:01:55,-6.0911,-35.2086,81.41,88,26,4.65,light rain
82,Mar Del Plata,AR,2022-04-14 01:01:10,-38.0023,-57.5575,56.88,84,0,5.01,clear sky
83,Esperance,AU,2022-04-14 01:01:56,-33.8667,121.9,62.44,76,97,15.77,overcast clouds
84,Kurumkan,RU,2022-04-14 01:01:56,54.3,110.3,32.32,61,100,3.15,overcast clouds
85,Ushuaia,AR,2022-04-14 01:01:56,-54.8,-68.3,47.03,87,95,7.07,overcast clouds
86,Tura,IN,2022-04-14 01:01:57,25.5198,90.2201,74.44,93,79,9.82,broken clouds
87,Aykhal,RU,2022-04-14 01:01:57,66.0,111.5,21.07,93,89,15.9,overcast clouds
88,Havelock,US,2022-04-14 00:59:47,34.8791,-76.9013,69.98,86,57,8.01,broken clouds
89,Cabo San Lucas,MX,2022-04-14 01:00:03,22.8909,-109.9124,78.62,65,25,10.54,scattered clouds
90,Shimoda,JP,2022-04-14 01:01:58,34.6667,138.95,57.56,82,99,19.64,overcast clouds
91,Longyearbyen,SJ,2022-04-14 01:01:58,78.2186,15.6401,17.44,67,75,5.75,broken clouds
92,Dikson,RU,2022-04-14 01:02:58,73.5069,80.5464,19.51,96,100,9.19,overcast clouds
93,Provideniya,RU,2022-04-14 01:02:59,64.3833,-173.3,30.31,86,100,13.42,light snow
94,Acapulco,MX,2022-04-14 01:02:59,16.8634,-99.8901,80.42,74,75,9.22,broken clouds
95,Lebu,CL,2022-04-14 01:02:59,-37.6167,-73.65,52.21,89,0,16.28,clear sky
96,New Norfolk,AU,2022-04-14 01:03:00,-42.7826,147.0587,64.89,50,100,3.6,overcast clouds
97,Illapel,CL,2022-04-14 01:03:00,-31.6308,-71.1653,66.74,48,0,1.5,clear sky
98,Fort Wellington,GY,2022-04-14 01:03:01,6.4,-57.6,77.7,82,12,11.16,few clouds
99,Soyo,AO,2022-04-14 01:03:01,-6.1349,12.3689,77.83,88,91,2.8,overcast clouds
100,Hasaki,JP,2022-04-14 01:03:01,35.7333,140.8333,54.0,86,100,26.08,overcast clouds
101,Mindelo,CV,2022-04-14 01:03:02,16.8901,-24.9804,68.31,78,12,17.43,few clouds
102,Punta Arenas,CL,2022-04-14 01:03:02,-53.15,-70.9167,50.11,87,100,24.07,overcast clouds
103,Wajir,KE,2022-04-14 01:03:02,1.7471,40.0573,78.76,77,41,12.35,scattered clouds
104,Lobva,RU,2022-04-14 01:03:03,59.1854,60.5185,40.68,98,100,3.18,overcast clouds
105,Iqaluit,CA,2022-04-14 01:03:03,63.7506,-68.5145,-7.15,87,5,13.53,clear sky
106,Klaksvik,FO,2022-04-14 01:03:04,62.2266,-6.589,43.72,86,34,17.67,scattered clouds
