City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
289,Timbiqui,CO,75.83,moderate rain,2.7717,-77.6654,
299,Salalah,OM,80.69,broken clouds,17.0151,54.0924,
304,Tondano,ID,80.69,overcast clouds,1.3038,124.9112,
306,Dillon,US,75.54,broken clouds,34.4166,-79.3712,
312,Mechanicsville,US,79.38,broken clouds,37.6088,-77.3733,
314,Axim,GH,79.95,broken clouds,4.8699,-2.2405,
322,Dingle,PH,81.36,overcast clouds,10.9995,122.6711,
324,Honiara,SB,88.02,clear sky,-9.4333,159.95,
326,Nioro,GM,76.57,overcast clouds,13.35,-15.75,
327,Kailua,US,84.18,overcast clouds,21.4022,-157.7394,
328,Emilio Carranza,MX,80.26,overcast clouds,19.9711,-96.6114,
329,Hobyo,SO,81.39,few clouds,5.3505,48.5268,
333,Tual,ID,83.61,few clouds,-5.6667,132.75,
335,Lake Havasu City,US,75.81,clear sky,34.4839,-114.3224,
339,Poum,NC,78.51,clear sky,-20.2333,164.0167,
342,Rapar,IN,75.02,clear sky,23.5667,70.6333,
349,Olinda,BR,82.13,clear sky,-8.0089,-34.8553,
350,Rayadrug,IN,80.37,overcast clouds,14.7,76.8667,
353,Zinder,NE,87.44,broken clouds,13.8072,8.9881,
357,Urucara,BR,76.98,light rain,-2.5364,-57.76,
358,Estelle,US,77.0,broken clouds,29.8458,-90.1067,
359,Ocos,GT,86.18,broken clouds,14.5094,-92.1933,
361,Bhimunipatnam,IN,81.91,overcast clouds,17.8833,83.4333,
362,Kavieng,PG,85.62,broken clouds,-2.5744,150.7967,
368,Kalmunai,LK,78.76,broken clouds,7.4167,81.8167,
375,Jashpurnagar,IN,82.0,broken clouds,22.9,84.15,
379,Iranshahr,IR,78.08,scattered clouds,27.2025,60.6848,
381,Mahebourg,MU,78.26,light rain,-20.4081,57.7,
382,Nunkini,MX,86.9,overcast clouds,20.3333,-90.1833,
383,Lang Son,VN,78.26,clear sky,21.8333,106.7333,
384,Kingston,JM,79.75,few clouds,17.997,-76.7936,
385,Ugoofaaru,MV,83.82,overcast clouds,5.6667,73.0,
388,Pamanukan,ID,80.55,overcast clouds,-6.2842,107.8106,
389,Emerald,AU,79.34,scattered clouds,-23.5333,148.1667,
391,Champerico,GT,84.63,overcast clouds,14.3,-91.9167,
393,Yenagoa,NG,75.13,overcast clouds,4.9247,6.2642,
395,Bonthe,SL,77.74,overcast clouds,7.5264,-12.505,
397,West Bay,KY,81.07,few clouds,19.3667,-81.4167,
398,Jieshi,CN,75.94,clear sky,22.8134,115.8257,
403,Muktsar,IN,77.56,clear sky,30.4833,74.5167,
405,Sragen,ID,79.59,clear sky,-7.4264,111.0222,
406,Ewa Beach,US,84.15,overcast clouds,21.3156,-158.0072,
407,Thatta,PK,76.28,clear sky,24.7475,67.9235,
408,Alyangula,AU,88.27,broken clouds,-13.8483,136.4192,
415,Sijunjung,ID,75.9,overcast clouds,-0.6876,100.9537,
420,Yulara,AU,87.64,overcast clouds,-25.2406,130.9889,
421,Hoi An,VN,76.96,broken clouds,15.8794,108.335,
427,Grand Gaube,MU,78.39,scattered clouds,-20.0064,57.6608,
429,Luanda,AO,76.68,scattered clouds,-8.8368,13.2343,
432,Tabuk,PH,81.46,broken clouds,17.4189,121.4443,
434,Port Blair,IN,78.84,few clouds,11.6667,92.75,
435,Bilma,NE,84.04,overcast clouds,18.6853,12.9164,
438,Berbera,SO,81.03,clear sky,10.4396,45.0143,
439,Dawei,MM,82.38,overcast clouds,14.0833,98.2,
445,Puri,IN,81.12,few clouds,19.8,85.85,
446,Tautira,PF,81.79,scattered clouds,-17.7333,-149.15,
450,Sur,OM,85.05,clear sky,22.5667,59.5289,
451,Bubaque,GW,75.15,overcast clouds,11.2833,-15.8333,
453,Sibolga,ID,80.53,overcast clouds,1.7427,98.7792,
454,Karratha,AU,88.09,clear sky,-20.7377,116.8463,
458,Wukari,NG,76.01,moderate rain,7.85,9.7833,
461,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,
465,Pita,GN,78.91,overcast clouds,10.8333,-12.5833,
466,Porto Velho,BR,78.85,few clouds,-8.7619,-63.9039,
467,Douentza,ML,86.45,overcast clouds,14.9951,-2.9517,
479,Tambacounda,SN,86.32,overcast clouds,13.7539,-13.7586,
480,Bowen,AU,81.66,broken clouds,-20.0167,148.2333,
484,Nhulunbuy,AU,88.41,broken clouds,-12.2333,136.7667,
491,Mayo,US,80.76,clear sky,38.8876,-76.5119,
493,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,
494,Manali,IN,83.07,broken clouds,13.1667,80.2667,
498,Popondetta,PG,88.81,overcast clouds,-8.7537,148.2534,
505,Sao Gabriel Da Cachoeira,BR,77.04,overcast clouds,-0.1303,-67.0892,
510,Luwuk,ID,84.65,overcast clouds,-0.9516,122.7875,
514,Kibala,TD,79.47,broken clouds,9.1104,18.3463,
522,Funadhoo,MV,84.07,overcast clouds,6.15,73.2667,
525,Marsh Harbour,BS,75.18,overcast clouds,26.5412,-77.0636,
526,Kununurra,AU,80.58,overcast clouds,-15.7667,128.7333,
527,Kirakira,SB,86.2,scattered clouds,-10.4544,161.9205,
528,Harper,LR,78.04,overcast clouds,4.375,-7.7169,
533,Salinopolis,BR,78.76,overcast clouds,-0.6136,-47.3561,
538,Benjamin Constant,BR,75.33,light rain,-4.3831,-70.0311,
543,Namibe,AO,76.35,clear sky,-15.1961,12.1522,
544,Bosaso,SO,81.27,clear sky,11.2842,49.1816,
545,Vao,NC,75.88,clear sky,-22.6667,167.4833,
547,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,
554,Dapitan,PH,79.03,overcast clouds,8.6464,123.4208,
559,Pochutla,MX,82.81,overcast clouds,15.7432,-96.4661,
561,Muncar,ID,82.47,clear sky,-8.4333,114.3333,
563,Totness,SR,77.61,few clouds,5.8833,-56.3167,
569,Dong Xoai,VN,84.72,overcast clouds,11.5333,106.9167,
577,Tabou,CI,76.66,overcast clouds,4.423,-7.3528,
582,Cravo Norte,CO,87.19,scattered clouds,6.3017,-70.2041,
583,Haapiti,PF,78.53,light rain,-17.5667,-149.8667,
584,Cayenne,GF,81.09,broken clouds,4.9333,-52.3333,
585,Kimbe,PG,88.36,broken clouds,-5.5502,150.1429,
586,Eyl,SO,80.8,broken clouds,7.9803,49.8164,
593,San Carlos,VE,84.96,overcast clouds,9.6612,-68.5827,
601,Paredon,MX,83.08,few clouds,16.0333,-93.8667,
606,Akyab,MM,82.8,scattered clouds,20.15,92.9,
608,Maunabo,PR,78.64,few clouds,18.0072,-65.8993,
610,Agadez,NE,81.5,overcast clouds,19.75,10.25,
618,Ibra,OM,76.24,clear sky,22.6906,58.5334,
624,Kulhudhuffushi,MV,83.71,overcast clouds,6.6221,73.07,
634,Monrovia,LR,79.18,overcast clouds,6.3005,-10.7969,
637,Biloela,AU,79.5,clear sky,-24.4167,150.5,
645,Port Moresby,PG,85.95,overcast clouds,-9.4431,147.1797,
650,Ambon,ID,84.34,few clouds,-3.6954,128.1814,
651,Nishihara,JP,78.46,scattered clouds,26.1842,127.7558,
652,Katherine,AU,89.92,overcast clouds,-14.4667,132.2667,
653,Dhidhdhoo,MV,82.58,overcast clouds,6.8833,73.1,
657,Lazaro Cardenas,MX,76.98,overcast clouds,17.9583,-102.2,
658,Tamandare,BR,78.26,scattered clouds,-8.7597,-35.1047,
662,Am Timan,TD,85.93,overcast clouds,11.0297,20.2827,
666,Ixtapa,MX,76.23,scattered clouds,20.7,-105.2,
669,Pilar,BR,75.13,few clouds,-9.5972,-35.9567,
673,Kahului,US,84.22,scattered clouds,20.8947,-156.47,
674,Omboue,GA,77.13,overcast clouds,-1.5746,9.2618,
676,Lumajang,ID,81.12,clear sky,-8.1335,113.2248,
677,Bharatpur,IN,82.63,clear sky,27.2167,77.4833,
681,Achi,CO,79.48,overcast clouds,8.5682,-74.554,
688,Yanam,IN,77.72,overcast clouds,16.7333,82.2167,
