City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
59,Sakaiminato,JP,2022-04-07 22:39:17,35.55,133.2333,53.53,76,75,16.11,broken clouds
60,San Patricio,US,2022-04-07 22:43:08,28.017,-97.5169,82.27,17,0,13.71,clear sky
61,Krasnoselkup,RU,2022-04-07 22:43:08,65.7,82.4667,0.3,99,95,5.06,overcast clouds
62,Torbay,CA,2022-04-07 22:43:09,47.6666,-52.7314,35.76,95,100,19.57,light rain
63,Bredasdorp,ZA,2022-04-07 22:43:10,-34.5322,20.0403,55.67,76,11,4.59,few clouds
64,Guerrero Negro,MX,2022-04-07 22:43:10,27.9769,-114.0611,81.48,30,4,13.71,clear sky
65,Hilo,US,2022-04-07 22:38:20,19.7297,-155.09,80.33,57,100,13.8,overcast clouds
66,Cape Town,ZA,2022-04-07 22:43:08,-33.9258,18.4232,60.28,68,0,20.71,clear sky
67,Honningsvag,NO,2022-04-07 22:43:11,70.9821,25.9704,32.47,75,93,23.13,light snow
68,Emba,KZ,2022-04-07 22:43:11,48.8264,58.1442,41.74,77,4,1.12,clear sky
69,Lavrentiya,RU,2022-04-07 22:43:12,65.5833,-171.0,-3.19,77,90,5.39,overcast clouds
70,Deniliquin,AU,2022-04-07 22:43:13,-35.5333,144.9667,59.9,85,100,13.69,light rain
71,Iquique,CL,2022-04-07 22:43:13,-20.2208,-70.1431,66.24,77,81,0.58,broken clouds
72,Svobodnyy,RU,2022-04-07 22:43:14,51.4,128.1333,28.69,95,100,11.72,snow
73,Ambatofinandrahana,MG,2022-04-07 22:43:14,-20.55,46.8,59.67,93,28,2.98,scattered clouds
74,Ayan,RU,2022-04-07 22:43:15,56.45,138.1667,23.13,76,79,4.12,broken clouds
75,Sabang,ID,2022-04-07 22:43:15,5.8933,95.3214,81.97,73,93,16.13,overcast clouds
76,Sebeta,ET,2022-04-07 22:43:16,8.9167,38.6167,57.65,38,16,4.21,few clouds
77,Leningradskiy,RU,2022-04-07 22:43:16,69.3833,178.4167,-3.78,87,100,12.33,overcast clouds
78,Zhigansk,RU,2022-04-07 22:43:17,66.7697,123.3711,-3.96,100,100,6.11,overcast clouds
79,Atuona,PF,2022-04-07 22:42:02,-9.8,-139.0333,79.21,72,25,14.63,scattered clouds
80,Geraldton,AU,2022-04-07 22:43:17,-28.7667,114.6,73.81,83,40,9.22,scattered clouds
81,Coahuayana,MX,2022-04-07 22:43:18,18.7333,-103.6833,82.06,55,65,5.93,broken clouds
82,Vila,PT,2022-04-07 22:43:18,42.0304,-8.1588,45.48,85,91,8.88,overcast clouds
83,Carauari,BR,2022-04-07 22:43:19,-4.8828,-66.8958,75.74,95,85,1.77,overcast clouds
84,Nikolskoye,RU,2022-04-07 22:43:19,59.7035,30.7861,41.81,99,100,7.31,overcast clouds
85,Port Augusta,AU,2022-04-07 22:43:20,-32.5,137.7667,68.7,53,10,7.65,clear sky
86,Nusaybin,TR,2022-04-07 22:43:20,37.0778,41.2178,60.85,55,89,2.17,overcast clouds
87,Anklam,DE,2022-04-07 22:43:21,53.8564,13.6897,43.05,81,86,24.49,overcast clouds
88,Morehead,US,2022-04-07 22:43:21,37.2711,-87.1764,54.79,51,100,8.99,overcast clouds
89,Nanortalik,GL,2022-04-07 22:43:22,60.1432,-45.2371,28.94,88,99,10.76,overcast clouds
90,Norman Wells,CA,2022-04-07 22:43:22,65.282,-126.8329,39.24,35,20,16.11,few clouds
91,Luderitz,NA,2022-04-07 22:44:23,-26.6481,15.1594,62.26,61,19,14.61,few clouds
92,Berberati,CF,2022-04-07 22:44:24,4.2612,15.7922,74.16,69,12,2.1,few clouds
93,Axim,GH,2022-04-07 22:44:24,4.8699,-2.2405,81.07,85,92,7.16,overcast clouds
94,Saint George,US,2022-04-07 22:44:25,37.1041,-113.5841,80.26,9,0,4.61,clear sky
95,Mantua,IT,2022-04-07 22:44:25,45.1667,10.7833,56.44,78,80,5.01,broken clouds
96,Tuktoyaktuk,CA,2022-04-07 22:44:26,69.4541,-133.0374,21.2,73,40,5.75,scattered clouds
97,Klaksvik,FO,2022-04-07 22:44:26,62.2266,-6.589,34.72,66,100,35.19,overcast clouds
98,Vaini,TO,2022-04-07 22:44:26,-21.2,-175.2,82.56,83,75,1.14,broken clouds
99,Airai,TL,2022-04-07 22:44:27,-8.9266,125.4092,63.01,74,100,1.95,overcast clouds
100,Dikson,RU,2022-04-07 22:44:28,73.5069,80.5464,1.89,98,100,10.8,overcast clouds
101,Ponta Do Sol,PT,2022-04-07 22:44:28,32.6667,-17.1,59.72,73,52,2.44,broken clouds
102,Cabo San Lucas,MX,2022-04-07 22:42:18,22.8909,-109.9124,85.6,34,0,6.91,clear sky
103,Port Elizabeth,ZA,2022-04-07 22:44:29,-33.918,25.5701,59.29,79,75,13.8,light rain
104,Bubaque,GW,2022-04-07 22:44:29,11.2833,-15.8333,76.14,77,34,15.39,scattered clouds
105,Xai-Xai,MZ,2022-04-07 22:44:30,-25.0519,33.6442,75.02,78,70,16.17,broken clouds
106,Taoudenni,ML,2022-04-07 22:44:30,22.6783,-3.9836,83.84,10,0,10.47,clear sky
107,Rawlins,US,2022-04-07 22:44:31,41.7911,-107.2387,49.89,11,0,20.71,clear sky
108,Chuy,UY,2022-04-07 22:44:31,-33.6971,-53.4616,64.08,89,100,6.31,overcast clouds
109,Saint Pete Beach,US,2022-04-07 22:44:32,27.7253,-82.7412,74.28,79,100,11.5,overcast clouds
110,Port Lincoln,AU,2022-04-07 22:44:32,-34.7333,135.8667,64.58,79,8,7.29,clear sky
111,Cidreira,BR,2022-04-07 22:44:33,-30.1811,-50.2056,70.07,89,100,10.25,light rain
112,Cabedelo,BR,2022-04-07 22:44:33,-6.9811,-34.8339,79.47,80,77,9.55,broken clouds
113,Morros,BR,2022-04-07 22:44:34,-9.4467,-46.3003,77.81,51,86,3.83,overcast clouds
114,Bharwari,IN,2022-04-07 22:44:34,25.55,81.5,78.85,11,9,4.16,clear sky
115,Vao,NC,2022-04-07 22:44:35,-22.6667,167.4833,80.06,82,97,34.31,heavy intensity rain
116,Waddan,LY,2022-04-07 22:44:37,29.1614,16.139,61.36,56,0,12.48,clear sky
117,Barrow,US,2022-04-07 22:44:37,71.2906,-156.7887,1.42,71,0,0.0,clear sky
118,Half Moon Bay,US,2022-04-07 22:40:02,37.4636,-122.4286,95.79,24,40,5.75,scattered clouds
119,Cubuk,TR,2022-04-07 22:44:38,40.2386,33.0322,55.15,66,75,12.66,broken clouds
120,Ixtapa,MX,2022-04-07 22:44:38,20.7,-105.2,84.79,50,12,7.05,few clouds
121,Dingle,PH,2022-04-07 22:44:39,10.9995,122.6711,74.7,92,100,7.96,heavy intensity rain
122,Hofn,IS,2022-04-07 22:44:39,64.2539,-15.2082,29.46,61,81,14.81,broken clouds
123,Avaton,GR,2022-04-07 22:44:40,40.9667,24.8,52.54,82,99,3.13,overcast clouds
124,Coello,CO,2022-04-07 22:44:40,4.2891,-74.8982,84.38,79,100,3.33,overcast clouds
125,Sabha,LY,2022-04-07 22:44:40,27.0377,14.4283,71.98,33,0,24.0,clear sky
126,Bowen,AU,2022-04-07 22:44:41,-20.0167,148.2333,80.17,71,64,11.88,broken clouds
127,Hamilton,US,2022-04-07 22:41:38,39.1834,-84.5333,51.89,54,100,14.97,overcast clouds
128,Kodiak,US,2022-04-07 22:44:41,57.79,-152.4072,38.71,75,100,6.91,light snow
129,Mar Del Plata,AR,2022-04-07 22:44:42,-38.0023,-57.5575,64.09,89,75,11.99,broken clouds
130,Hasaki,JP,2022-04-07 22:44:42,35.7333,140.8333,57.6,50,16,7.07,few clouds
131,Koppies,ZA,2022-04-07 22:44:43,-27.2418,27.5742,53.35,38,1,5.95,clear sky
132,Ko Samui,TH,2022-04-07 22:44:45,9.5357,99.9357,82.49,66,75,1.61,broken clouds
133,Kaitangata,NZ,2022-04-07 22:44:45,-46.2817,169.8464,53.65,79,99,15.46,overcast clouds
134,Lazaro Cardenas,MX,2022-04-07 22:44:46,17.9583,-102.2,80.46,59,26,8.34,scattered clouds
135,Kavieng,PG,2022-04-07 22:44:46,-2.5744,150.7967,77.92,89,100,3.36,moderate rain
136,Narsaq,GL,2022-04-07 22:45:46,60.9167,-46.05,35.82,90,48,0.47,scattered clouds
137,Tiksi,RU,2022-04-07 22:45:47,71.6872,128.8694,-8.45,99,70,0.89,broken clouds
138,Luwuk,ID,2022-04-07 22:45:47,-0.9516,122.7875,78.89,78,100,2.1,overcast clouds
139,Yellowknife,CA,2022-04-07 22:41:40,62.456,-114.3525,37.92,41,20,8.05,few clouds
140,Flin Flon,CA,2022-04-07 22:45:48,54.7682,-101.865,44.44,45,40,3.44,scattered clouds
141,San Cristobal,VE,2022-04-07 22:45:49,7.7669,-72.225,78.98,66,75,3.13,broken clouds
142,Diapaga,BF,2022-04-07 22:45:49,12.0708,1.7889,93.43,24,25,5.95,scattered clouds
143,Sept-Iles,CA,2022-04-07 22:45:50,50.2001,-66.3821,41.43,56,20,5.75,few clouds
144,Tual,ID,2022-04-07 22:45:50,-5.6667,132.75,83.73,73,96,9.73,overcast clouds
145,Muli,MV,2022-04-07 22:45:51,2.9167,73.5667,82.85,69,64,4.09,broken clouds
146,Wad Rawah,SD,2022-04-07 22:45:51,15.1603,33.1397,91.62,17,2,8.68,clear sky
147,Sao Filipe,CV,2022-04-07 22:45:52,14.8961,-24.4956,72.45,75,34,7.78,scattered clouds
148,Poum,NC,2022-04-07 22:45:52,-20.2333,164.0167,81.66,80,100,17.11,overcast clouds
149,Ajdabiya,LY,2022-04-07 22:45:53,30.7554,20.2263,60.21,76,4,18.61,clear sky
150,Nyurba,RU,2022-04-07 22:45:53,63.2842,118.3319,9.1,95,100,6.17,overcast clouds
151,Dalaba,GN,2022-04-07 22:45:54,10.7,-12.25,75.81,47,99,3.15,overcast clouds
152,San Quintin,MX,2022-04-07 22:45:54,30.4833,-115.95,78.73,33,2,7.58,clear sky
153,Brae,GB,2022-04-07 22:45:54,60.3964,-1.353,41.18,67,98,25.14,overcast clouds
154,Kawalu,ID,2022-04-07 22:45:55,-7.3817,108.2082,70.47,95,82,2.44,broken clouds
